Date,,,,Close,,,,,
10/23/2020,,,,204.62,,,,,
10/26/2020,,,,199.98,,,,,
10/27/2020,,,,201.08,,,,,
10/28/2020,,,,192.98,,,,,
10/29/2020,,,,198.51,,,,,
10/30/2020,,,,196.55,,,,,
11/2/2020,,,,196.72,,,,,
11/3/2020,,,,199.51,,,,,
11/4/2020,,,,207.99,,,,,
11/5/2020,,,,211.67,,,,,
11/6/2020,,,,211.48,,,,,
11/9/2020,,,,210.94,,,,,
11/10/2020,,,,210.27,,,,,
11/11/2020,,,,211.46,,,,,
11/12/2020,,,,210.46,,,,,
11/13/2020,,,,213.16,,,,,
11/16/2020,,,,214.49,,,,,
11/17/2020,,,,213.59,,,,,
11/18/2020,,,,211.52,,,,,
11/19/2020,,,,212.39,,,,,
11/20/2020,,,,211.22,,,,,
11/23/2020,,,,211.32,,,,,
11/24/2020,,,,216.17,,,,,
11/25/2020,,,,215.65,,,,,
11/27/2020,,,,216.99,,,,,
11/30/2020,,,,215.31,,,,,
12/1/2020,,,,219.53,,,,,
12/2/2020,,,,221.75,,,,,
12/3/2020,,,,220.87,,,,,
12/4/2020,,,,220.99,,,,,
12/7/2020,,,,222.35,,,,,
12/8/2020,,,,222.09,,,,,
12/9/2020,,,,219.42,,,,,
12/10/2020,,,,218.71,,,,,
12/11/2020,,,,221.22,,,,,
12/14/2020,,,,220,,,,,
12/15/2020,,,,221.55,,,,,
12/16/2020,,,,221.16,,,,,
12/17/2020,,,,220.47,,,,,
12/18/2020,,,,220.2,,,,,
12/21/2020,,,,218.61,,,,,
12/22/2020,,,,216.44,,,,,
12/23/2020,,,,217.36,,,,,
12/24/2020,,,,217.7,,,,,
12/28/2020,,,,221.75,,,,,
12/29/2020,,,,221.42,,,,,
12/30/2020,,,,219.79,,,,,
12/31/2020,,,,221.92,,,,,
1/4/2021,,,,218.58,,,,,
1/5/2021,,,,219.17,,,,,
1/6/2021,,,,217.72,,,,,
1/7/2021,,,,220.77,,,,,
1/8/2021,,,,221.32,,,,,
1/11/2021,,,,217.41,,,,,
1/12/2021,,,,214.15,,,,,
1/13/2021,,,,214.91,,,,,
1/14/2021,,,,213.12,,,,,
1/15/2021,,,,213.44,,,,,
